amendment1	time1	trial1	plant_id1	leaflength1	leafwidth1	leafarea1
MWF	28	1	22	9.2	7.3	54.11
MWF	28	1	23	5.4	4.3	20.43
MWF	28	1	24	7.8	5.9	36.41
MWF	28	1	25	3.1	2.2	6.35
MWF	28	1	26	6.5	4.5	22.18
MWF	28	1	27	3.5	2.5	7.88
MWF	28	1	28	2.3	1.5	3.40
MWF	28	1	29	9.2	4.5	22.18
MWF	35	1	1	13.1	7	50.03
MWF	35	1	2	9.6	5.6	33.06
MWF	35	1	3	14.1	6.8	47.39
MWF	35	1	4	7.6	5.4	30.92
MWF	35	1	5	9.3	5.3	29.88
MWF	35	1	6	15.7	6.4	42.33
MWF	35	1	7	12.5	6.6	44.82
MWF	35	1	8	15	6.7	46.10
MWF	35	1	9	14.5	8	64.27
MWF	35	1	10	8	5	26.86
MWF	35	1	11	10.2	5.2	28.86
MWF	35	1	12	10.7	5.9	36.41
MWF	35	1	13	8	4.5	22.18
MWF	35	1	14	15.5	8.8	76.94
MWF	35	1	15	13.6	6.8	47.39
MWF	35	1	16	13.7	8.8	76.94
MWF	35	1	17	16.5	7.7	59.81
MWF	35	1	18	13.3	8.2	67.33
MWF	35	1	19	14.1	8	64.27
MWF	35	1	20	14.7	7.5	56.93
MWF	35	1	21	16	10.4	105.70
MWF	35	1	22	16.4	8.3	68.89
MWF	35	1	23	9.9	6.4	42.33
MWF	35	1	24	14.1	7.5	56.93
MWF	35	1	25	5.4	4	17.94
MWF	35	1	26	13.3	8	64.27
MWF	35	1	27	7	3.8	16.37
MWF	35	1	28	7.1	4	17.94
MWF	35	1	29	16.7	7.8	61.28
MWF	42	1	1	13.6	7.2	52.73
MWF	42	1	2	13.5	7.6	58.36
MWF	42	1	3	15.2	7.6	58.36
MWF	42	1	4	11.5	6.3	41.11
MWF	42	1	5	15.2	7.6	58.36
MWF	42	1	6	13.2	6.7	46.10
MWF	42	1	7	13.3	7	50.03
MWF	42	1	8	15.4	7.2	52.73
MWF	42	1	9	14.5	8.1	65.79
MWF	42	1	10	6.1	4.5	22.18
MWF	42	1	11	10.5	5.5	31.99
MWF	42	1	12	14	7.1	51.37
MWF	42	1	13	11	6	37.55
MWF	42	1	14	12.5	6.4	42.33
MWF	42	1	15	18	9.2	83.71
MWF	42	1	16	13.6	7.1	51.37
MWF	42	1	17	16.6	8.3	68.89
MWF	42	1	18	16.5	7.8	61.28
MWF	42	1	19	16	8.4	70.47
MWF	42	1	20	14.2	8.2	67.33
NoFrass	21	1	1	6.2	4.5	22.18
NoFrass	21	1	2	6.5	4.6	23.08
NoFrass	21	1	3	3.5	2.5	7.88
NoFrass	21	1	4	3.2	2.2	6.35
NoFrass	21	1	5	8.1	5.7	34.16
NoFrass	21	1	6	7	5.1	27.85
NoFrass	21	1	7	5.2	4.2	19.58
NoFrass	21	1	8	4.8	3.6	14.87
NoFrass	21	1	9	4	2.2	6.35
NoFrass	21	1	10	5.5	4.7	24.00
NoFrass	21	1	11	4.8	3.2	12.08
NoFrass	21	1	12	5	4.2	19.58
NoFrass	21	1	13	7.2	4.4	21.29
NoFrass	21	1	14	2.5	1.3	2.72
NoFrass	21	1	15	6.1	4	17.94
NoFrass	21	1	16	6	4.2	19.58
NoFrass	21	1	17	3.9	3	10.79
NoFrass	21	1	18	3.3	2.6	8.43
NoFrass	21	1	19	2.5	1.7	4.15
NoFrass	21	1	20	5.7	3.8	16.37
NoFrass	21	1	21	4.8	3.1	11.43
NoFrass	21	1	22	2	1.4	3.05
NoFrass	21	1	23	4.2	3	10.79
NoFrass	21	1	24	3.7	2.9	10.17
NoFrass	21	1	25	3.3	2.8	9.57
NoFrass	21	1	26	3	2.1	5.88
NoFrass	21	1	27	3.6	3.2	12.08
NoFrass	21	1	28	4.8	3.9	17.14
NoFrass	21	1	29	3.9	2.8	9.57
NoFrass	21	1	30	3.1	2.4	7.36
NoFrass	28	1	1	10	6.5	43.57
NoFrass	28	1	2	10.8	7.1	51.37
NoFrass	28	1	3	8.1	5.3	29.88
NoFrass	28	1	4	6.1	3.8	16.37
NoFrass	28	1	5	13.2	9.3	85.44
NoFrass	28	1	6	14	7.7	59.81
NoFrass	28	1	7	8.9	7	50.03
NoFrass	28	1	8	9.1	6.2	39.91
NoFrass	28	1	9	9.5	4.7	24.00
NoFrass	28	1	10	12	7.5	56.93
NoFrass	28	1	11	8.6	5.5	31.99
NoFrass	28	1	12	9	6	37.55
NoFrass	28	1	13	11.5	7.2	52.73
NoFrass	28	1	14	6.1	4.5	22.18
NoFrass	28	1	15	10.3	6.6	44.82
NoFrass	28	1	16	12	8.5	72.06
NoFrass	28	1	17	8	6	37.55
NoFrass	28	1	18	6.1	4.9	25.89
NoFrass	28	1	19	7.1	5	26.86
NoFrass	28	1	20	9.2	6.8	47.39
NoFrass	28	1	21	9.1	6.5	43.57
NoFrass	28	1	22	5	4.4	21.29
NoFrass	28	1	23	8.1	5.7	34.16
NoFrass	28	1	24	4.1	3.1	11.43
NoFrass	28	1	25	8.2	6.3	41.11
NoFrass	28	1	26	7.3	5.7	34.16
NoFrass	28	1	27	8.8	6.5	43.57
NoFrass	28	1	28	7.2	5.7	34.16
NoFrass	28	1	29	6.9	5.8	35.27
NoFrass	28	1	30	5.5	3.2	12.08
NoFrass	35	1	1	12.2	6.5	43.57
NoFrass	35	1	2	12.6	6.7	46.10
NoFrass	35	1	3	14	6.8	47.39
NoFrass	35	1	4	8.4	5.2	28.86
NoFrass	35	1	5	17.3	9.2	83.71
NoFrass	35	1	6	16.1	7.7	59.81
NoFrass	35	1	7	15	8	64.27
NoFrass	35	1	8	12.3	8.5	72.06
NoFrass	35	1	9	14.4	8	64.27
NoFrass	35	1	10	13.5	8.2	67.33
NoFrass	35	1	11	10.8	5.9	36.41
NoFrass	35	1	12	12.6	7	50.03
NoFrass	35	1	13	13.4	7.2	52.73
NoFrass	35	1	14	11.7	7.2	52.73
NoFrass	35	1	15	15.6	7	50.03
NoFrass	35	1	16	16	9	80.29
NoFrass	35	1	17	14.5	7.3	54.11
NoFrass	35	1	18	11.9	7.2	52.73
NoFrass	35	1	19	12.2	6.7	46.10
NoFrass	35	1	20	12.3	7.2	52.73
NoFrass	35	1	21	11.1	7.2	52.73
NoFrass	35	1	22	8.2	4.5	22.18
NoFrass	35	1	23	12.2	6.1	38.72
NoFrass	35	1	24	6	4	17.94
NoFrass	35	1	25	10.5	8	64.27
NoFrass	35	1	26	12	7.7	59.81
NoFrass	35	1	27	14.2	7.9	62.77
NoFrass	35	1	28	11.5	7	50.03
NoFrass	35	1	29	15.9	8	64.27
NoFrass	35	1	30	11.8	6	37.55
NoFrass	42	1	1	13.8	7.6	58.36
NoFrass	42	1	2	13.2	5.8	35.27
NoFrass	42	1	3	12.5	7.5	56.93
NoFrass	42	1	4	10	6.4	42.33
NoFrass	42	1	5	15.6	8	64.27
NoFrass	42	1	6	16.4	7.9	62.77
NoFrass	42	1	7	16.5	8	64.27
NoFrass	42	1	8	14	8.5	72.06
NoFrass	42	1	9	14.5	8.2	67.33
NoFrass	42	1	10	16.5	9.1	81.99
NoFrass	42	1	11	11.2	6.6	44.82
NoFrass	42	1	12	15.5	7.9	62.77
NoFrass	42	1	13	13.5	7.8	61.28
NoFrass	42	1	14	13	7.4	55.51
NoFrass	42	1	15	15.8	6.9	48.70
NoFrass	42	1	16	17.4	8	64.27
NoFrass	42	1	17	13.8	7.4	55.51
NoFrass	42	1	18	12	6.1	38.72
NoFrass	42	1	19	15.4	6	37.55
NoFrass	42	1	20	11.8	6.5	43.57
