amendment1	trial1	days1	pupae1	flies1	percent_per_day1
BSFF	1	5	40	7	17.50
BSFF	1	6	33	3	9.09
BSFF	1	7	30	5	16.67
BSFF	1	8	25	2	8.00
BSFF	1	11	23	5	21.74
BSFF	1	12	18	3	16.67
BSFF	1	13	15	7	46.67
MWF	1	6	65	5	7.69
MWF	1	7	60	7	11.67
MWF	1	10	53	40	75.47
MWF	1	11	13	3	23.08
MWF	1	12	10	3	30.00
MWF	1	13	7	1	14.29
MWF	1	14	6	3	50.00
NoFrass	1	5	57	1	1.75
NoFrass	1	6	56	1	1.79
NoFrass	1	9	55	25	45.45
NoFrass	1	10	30	3	10.00
NoFrass	1	11	27	6	22.22
NoFrass	1	12	21	10	47.62
NoFrass	1	13	11	4	36.36
